DATE,HIJRI,DAY,FAJR.STARTS,SUNRISE.STARTS,DHUHUR.STARTS,ASR.STARTS,ISHA.STARTS,FAJR.JAMAAT,DHUHUR.JAMAAT,ASR.JAMAAT,MAGHRIB.JAMAAT,ISHA.JAMAAT
01,7,Sat,03:17,04:44,13:13,17:39,22:50,03:45,13:30,18:30,21:41,23:00
02,8,Sun,03:18,04:45,13:13,17:39,22:50,03:45,13:30,18:30,21:40,23:00
03,9,Mon,03:19,04:46,13:13,17:39,22:50,03:45,13:30,18:30,21:40,23:00
04,10,Tue,03:19,04:47,13:13,17:39,22:50,03:45,13:30,18:30,21:39,23:00
05,11,Wed,03:20,04:48,13:14,17:39,22:50,03:45,13:30,18:30,21:39,23:00
06,12,Thu,03:20,04:49,13:14,17:39,22:50,03:45,13:30,18:30,21:38,23:00
07,13,Fri,03:21,04:50,13:14,17:39,22:50,03:45,13:30,18:30,21:37,23:00
08,14,Sat,03:22,04:51,13:14,17:38,22:50,03:45,13:30,18:30,21:37,23:00
09,15,Sun,03:22,04:52,13:14,17:38,22:50,03:45,13:30,18:30,21:36,23:00
10,16,Mon,03:23,04:53,13:14,17:38,22:50,03:45,13:30,18:30,21:35,23:00
11,17,Tue,03:24,04:54,13:14,17:38,22:50,03:45,13:30,18:30,21:34,23:00
12,18,Wed,03:25,04:55,13:15,17:38,22:50,03:45,13:30,18:30,21:33,23:00
13,19,Thu,03:25,04:57,13:15,17:37,22:50,03:45,13:30,18:30,21:32,23:00
14,20,Fri,03:26,04:58,13:15,17:37,22:35,04:00,13:30,18:30,21:31,22:45
15,21,Sat,03:27,04:59,13:15,17:37,22:35,04:00,13:30,18:30,21:30,22:45
16,22,Sun,03:28,05:00,13:15,17:36,22:35,04:00,13:30,18:30,21:29,22:45
17,23,Mon,03:29,05:02,13:15,17:36,22:35,04:00,13:30,18:30,21:28,22:45
18,24,Tue,03:29,05:03,13:15,17:36,22:35,04:00,13:30,18:30,21:26,22:45
19,25,Wed,03:30,05:05,13:15,17:35,22:35,04:00,13:30,18:30,21:25,22:45
20,26,Thu,03:31,05:06,13:15,17:35,22:35,04:00,13:30,18:30,21:24,22:45
21,27,Fri,03:32,05:07,13:15,17:34,22:35,04:00,13:30,18:30,21:22,22:45
22,28,Sat,03:33,05:09,13:15,17:34,22:35,04:00,13:30,18:30,21:21,22:45
23,29,Sun,03:34,05:10,13:15,17:33,22:35,04:00,13:30,18:30,21:20,22:45
24,1,Mon,03:35,05:12,13:15,17:33,22:35,04:00,13:30,18:30,21:18,22:45
25,2,Tue,03:36,05:14,13:15,17:32,22:35,04:00,13:30,18:30,21:17,22:45
26,3,Wed,03:36,05:15,13:15,17:32,22:35,04:00,13:30,18:30,21:15,22:45
27,4,Thu,03:37,05:17,13:15,17:31,22:35,04:00,13:30,18:30,21:13,22:45
28,5,Fri,03:38,05:18,13:15,17:30,22:20,04:15,13:30,18:30,21:12,22:30
29,6,Sat,03:39,05:20,13:15,17:30,22:20,04:15,13:30,18:30,21:10,22:30
30,7,Sun,03:40,05:21,13:15,17:29,22:20,04:15,13:30,18:30,21:08,22:30
31,8,Mon,03:41,05:23,13:15,17:28,22:20,04:15,13:30,18:30,21:07,22:30
