DATE,HIJRI,DAY,FAJR.STARTS,SUNRISE.STARTS,DHUHUR.STARTS,ASR.STARTS,ISHA.STARTS,FAJR.JAMAAT,DHUHUR.JAMAAT,ASR.JAMAAT,MAGHRIB.JAMAAT,ISHA.JAMAAT
01,10,Fri,04:47,06:18,13:09,17:48,21:32,05:15,13:15,18:00,20:01,21:45
02,11,Sat,04:48,06:18,13:09,17:46,21:30,05:15,13:30,18:00,19:59,21:45
03,12,Sun,04:50,06:20,13:09,17:44,21:27,05:15,13:30,18:00,19:57,21:45
04,13,Mon,04:53,06:23,13:08,17:43,21:23,05:15,13:30,18:00,19:54,21:45
05,14,Tue,04:56,06:25,13:08,17:41,21:20,05:15,13:30,18:00,19:51,21:45
06,15,Wed,04:58,06:27,13:08,17:39,21:17,05:15,13:30,18:00,19:48,21:45
07,16,Thu,05:00,06:29,13:07,17:37,21:15,05:15,13:30,18:00,19:46,21:45
08,17,Fri,05:02,06:30,13:07,17:35,21:12,05:30,13:15,17:45,19:43,21:30
09,18,Sat,05:04,06:32,13:07,17:33,21:09,05:30,13:30,17:45,19:41,21:30
10,19,Sun,05:06,06:34,13:06,17:31,21:06,05:30,13:30,17:45,19:38,21:30
11,20,Mon,05:08,06:36,13:06,17:29,21:03,05:30,13:30,17:45,19:36,21:30
12,21,Tue,05:10,06:37,13:05,17:27,21:01,05:30,13:30,17:45,19:34,21:30
13,22,Wed,05:12,06:39,13:05,17:25,20:58,05:30,13:30,17:45,19:31,21:30
14,23,Thu,05:14,06:41,13:05,17:23,20:55,05:30,13:30,17:45,19:29,21:30
15,24,Fri,05:17,06:42,13:04,17:21,20:52,05:45,13:15,17:30,19:26,21:15
16,25,Sat,05:19,06:42,13:04,17:19,20:50,05:45,13:30,17:30,19:24,21:15
17,26,Sun,05:21,06:44,13:04,17:17,20:47,05:45,13:30,17:30,19:22,21:15
18,27,Mon,05:23,06:48,13:03,17:15,20:44,05:45,13:30,17:30,19:19,21:15
19,28,Tue,05:24,06:49,13:03,17:13,20:41,05:45,13:30,17:30,19:16,21:15
20,29,Wed,05:26,06:51,13:03,17:11,20:39,05:45,13:30,17:30,19:14,21:15
21,30,Thu,05:28,06:53,13:02,17:09,20:36,05:45,13:30,17:30,19:12,21:15
22,01,Fri,05:30,06:55,13:02,17:07,20:33,06:00,13:15,17:15,19:09,21:00
23,02,Sat,05:32,06:56,13:02,17:04,20:31,06:00,13:30,17:15,19:07,21:00
24,03,Sun,05:34,06:58,13:01,17:02,20:28,06:00,13:30,17:15,19:04,21:00
25,04,Mon,05:36,07:00,13:01,17:00,20:26,06:00,13:30,17:15,19:02,21:00
26,05,Tue,05:38,07:02,13:01,16:58,20:23,06:00,13:30,17:15,18:59,21:00
27,06,Wed,05:40,07:04,13:00,16:56,20:21,06:00,13:30,17:15,18:57,21:00
28,07,Thu,05:42,07:05,13:00,16:54,20:18,06:00,13:30,17:15,18:54,21:00
29,08,Fri,05:44,07:07,13:00,16:52,20:15,06:00,13:15,17:00,18:52,20:45
30,09,Sat,05:45,07:09,12:59,16:50,20:13,06:00,13:30,17:00,18:50,20:45
